Soil Type,Moisture Content (%),Wilting Point (%),Recommended Fertilizers
Loam,20.82,12.83,"Compost, Nitrogen, Phosphorus"
Silty Clay,32.69,33.41,"Micro-Nutrients, Potash"
Silty Clay Loam,35.27,22.97,"Potash, Nitrogen, Micro-Nutrients"
Sandy Loam,17.36,11.72,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Loam,21.76,18.63,"Compost, Nitrogen, Phosphorus"
Silt Loam,26.96,23.63,"Phosphorus, Nitrogen, Potash"
Silt Loam,29.81,22.98,"Phosphorus, Nitrogen, Potash"
Sand,5.51,3.08,"Nitrogen, Potassium"
Silt Loam,32.4,18.48,"Phosphorus, Nitrogen, Potash"
Loamy Sand,16.68,9.47,"Organic Fertilizer, Nitrogen"
Silt Loam,29.66,22.32,"Phosphorus, Nitrogen, Potash"
Clay Loam,36.08,30.36,"Nitrogen, Potassium, Phosphorus"
Clay,33.39,48.16,"Urea, Potassium, Nitrogen"
Silty Clay,30.23,36.75,"Micro-Nutrients, Potash"
Sand,14.07,2.51,"Nitrogen, Potassium"
Silty Clay Loam,38.13,25.37,"Potash, Nitrogen, Micro-Nutrients"
Clay Loam,35.8,28.14,"Nitrogen, Potassium, Phosphorus"
Silt Loam,29.07,19.3,"Phosphorus, Nitrogen, Potash"
Silty Clay,38.58,34.36,"Micro-Nutrients, Potash"
Sandy Clay Loam,25.89,29.77,"DAP (Diammonium Phosphate), Nitrogen"
Silt Loam,25.12,18.83,"Phosphorus, Nitrogen, Potash"
Silty Clay Loam,34.32,21.52,"Potash, Nitrogen, Micro-Nutrients"
Clay,31.1,35.96,"Urea, Potassium, Nitrogen"
Sandy Clay Loam,31.93,32.05,"DAP (Diammonium Phosphate), Nitrogen"
Clay Loam,30.08,32.12,"Nitrogen, Potassium, Phosphorus"
Sandy Clay Loam,34.25,25.95,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay,32.19,34.2,"Micro-Nutrients, Potash"
Clay,31.38,44.91,"Urea, Potassium, Nitrogen"
Sandy Clay Loam,27.5,29.37,"DAP (Diammonium Phosphate), Nitrogen"
Silt Loam,26.32,20.75,"Phosphorus, Nitrogen, Potash"
Sand,14.04,7.71,"Nitrogen, Potassium"
Silty Clay,31.89,31.81,"Micro-Nutrients, Potash"
Silt Loam,28.71,18.71,"Phosphorus, Nitrogen, Potash"
Sandy Clay Loam,31.79,26.8,"DAP (Diammonium Phosphate), Nitrogen"
Clay,29.6,47.81,"Urea, Potassium, Nitrogen"
Silt Loam,29.17,17.79,"Phosphorus, Nitrogen, Potash"
Clay,25.26,40.22,"Urea, Potassium, Nitrogen"
Loamy Sand,13.06,5.52,"Organic Fertilizer, Nitrogen"
Clay,26.56,38.23,"Urea, Potassium, Nitrogen"
Loam,21.3,13.59,"Compost, Nitrogen, Phosphorus"
Sandy Clay Loam,26.21,31.32,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay Loam,31.8,27.07,"Potash, Nitrogen, Micro-Nutrients"
Sandy Loam,19.2,13.16,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sandy Clay Loam,34.63,25.99,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Clay Loam,33.82,29.45,"DAP (Diammonium Phosphate), Nitrogen"
Silt Loam,31.1,23.47,"Phosphorus, Nitrogen, Potash"
Loamy Sand,19.39,9.42,"Organic Fertilizer, Nitrogen"
Sand,5.12,7.81,"Nitrogen, Potassium"
Clay Loam,30.1,33.08,"Nitrogen, Potassium, Phosphorus"
Clay Loam,32.65,34.07,"Nitrogen, Potassium, Phosphorus"
Loam,26.88,19.67,"Compost, Nitrogen, Phosphorus"
Silt Loam,25.11,17.34,"Phosphorus, Nitrogen, Potash"
Clay,25.98,43.66,"Urea, Potassium, Nitrogen"
Sandy Clay Loam,33.54,25.42,"DAP (Diammonium Phosphate), Nitrogen"
Clay,31.84,36.01,"Urea, Potassium, Nitrogen"
Sand,9.54,5.81,"Nitrogen, Potassium"
Clay,32.07,37.71,"Urea, Potassium, Nitrogen"
Loamy Sand,11.56,8.92,"Organic Fertilizer, Nitrogen"
Loam,20.56,19.97,"Compost, Nitrogen, Phosphorus"
Silt Loam,25.54,19.43,"Phosphorus, Nitrogen, Potash"
Silty Clay,30.86,35.49,"Micro-Nutrients, Potash"
Clay Loam,34.81,29.63,"Nitrogen, Potassium, Phosphorus"
Loamy Sand,13.65,9.04,"Organic Fertilizer, Nitrogen"
Sand,13.35,4.09,"Nitrogen, Potassium"
Clay Loam,33.86,30.14,"Nitrogen, Potassium, Phosphorus"
